ts	imei	mwra	c.dogalize	c.android.chrome	c.android.gm	c.android.youtube	c.katana	c.UCMobile.x86	c.updateassist	c.raider	c.android.vending	c.UCMobile.intl
2018-05-05 10:00:00	3590433799317661776	0.00000	10.46712	13.15462	15.48272	15.79036	10.06846	35.88289	60.93619	57.45771	24.36645	7.89965
2018-05-05 10:01:00	359043379931766221	0.00000	16.09090	11.98551	11.29069	14.62076	15.51460	49.01525	78.14533	3.44474	12.97603	52.78038
2018-05-05 10:02:00	359043379931766197	0.00000	15.08628	10.23623	12.12322	13.87312	15.89448	40.77474	37.89697	90.75862	96.46936	30.23101
2018-05-05 10:03:00	359043379931766361	1.00000	16.70425	9.55277	13.55352	13.06884	15.52364	34.88848	87.65888	58.61494	36.97404	56.04563
2018-05-05 10:04:00	8630330696303481768	0.00000	5.60619	10.67379	14.53785	17.30021	12.17022	52.15188	46.82475	97.66176	53.77980	61.39409
2018-05-05 10:05:00	863033069630348305	0.00000	13.80811	15.04683	14.71682	12.87226	9.01259	36.04696	51.76401	83.31032	86.54556	39.30877
2018-05-05 10:06:00	359043379931766007	0.00000	7.66871	14.66300	14.88131	8.80871	11.51912	52.44218	57.66964	2.90688	14.56658	78.13005
2018-05-05 10:07:00	8630330696303481214	1.00000	13.78351	8.59714	11.92196	14.46399	10.37492	37.25996	39.65210	72.50339	86.67237	1.49802
2018-05-05 10:08:00	8630330696303481743	0.00000	12.93537	16.77507	17.75853	11.84145	10.95695	50.81413	55.56586	96.36667	8.87437	33.43387
2018-05-05 10:09:00	863033069630348032	0.00000	8.26159	11.97545	12.68422	16.25786	11.06407	20.66894	62.28315	9.98386	91.32575	87.37077
2018-05-05 10:10:00	359043379931766031	0.00000	11.30520	13.09098	11.90404	11.70232	18.18594	26.15998	28.00165	5.52588	50.12657	51.83455
2018-05-05 10:11:00	359043379931766429	0.00000	10.93973	13.28495	13.22536	12.31988	13.16119	46.17860	56.58007	57.84691	45.46738	39.21400
2018-05-05 10:12:00	8630330696303481305	1.00000	12.10323	7.88238	9.62010	17.64870	6.54111	42.20228	86.62550	83.01008	69.75893	17.26391
2018-05-05 10:13:00	8630330696303481982	1.00000	13.45394	10.70131	10.22317	14.93936	20.36271	27.60434	98.12678	70.47024	28.92758	53.52439
2018-05-05 10:14:00	359043379931766197	0.00000	11.75852	14.51441	16.27355	17.50130	11.37141	45.34101	23.64076	84.50712	97.35444	97.91722
2018-05-05 10:15:00	8630330696303481545	1.00000	15.44965	11.07762	12.67397	12.92579	15.06406	59.22807	97.84053	34.73259	31.22462	13.36579
2018-05-05 10:16:00	3590433799317662105	0.00000	5.77435	12.65483	15.20534	11.64881	11.19972	45.34106	64.27887	25.63816	0.43734	25.19594
2018-05-05 10:17:00	8630330696303481347	0.00000	10.71185	12.59691	15.35656	12.17504	13.16774	16.46162	69.77956	15.55220	97.56597	21.34822
2018-05-05 10:18:00	359043379931766601	0.00000	13.47569	16.41470	13.79232	11.41856	11.48719	44.89749	37.26097	72.48452	8.11238	35.11877
2018-05-05 10:19:00	8630330696303481156	1.00000	11.51314	11.11308	9.91877	14.18111	12.60384	52.51094	20.84919	77.81679	57.46463	89.57479
2018-05-05 10:20:00	3590433799317661420	0.00000	11.24829	17.42082	14.94896	10.96546	11.44986	52.58921	51.80936	49.47909	15.79700	40.30600
2018-05-05 10:21:00	8630330696303481222	1.00000	9.05376	15.20881	9.36416	13.25224	14.95945	45.61113	46.48587	96.04936	82.30659	77.45353
2018-05-05 10:22:00	8630330696303481503	1.00000	17.64049	12.70732	10.11497	17.81721	18.14124	53.80068	90.03778	26.40556	76.51940	2.80329
2018-05-05 10:23:00	3590433799317662147	1.00000	10.86204	14.04889	10.90411	15.83402	14.48002	46.43185	96.61656	99.93420	20.07297	87.57293
2018-05-05 10:24:00	359043379931766460	1.00000	10.09301	12.46912	15.32006	9.03921	9.43396	45.85459	53.44823	89.83664	77.05504	1.46316
2018-05-05 10:25:00	3590433799317661339	1.00000	10.61180	16.16999	11.82077	16.53164	14.58381	39.30764	21.02955	54.23476	81.74541	70.12088
2018-05-05 10:26:00	8630330696303481966	0.00000	8.88792	13.41779	14.49466	15.46540	14.54627	38.08381	70.85859	70.83569	18.80135	79.29027
2018-05-05 10:27:00	8630330696303481693	0.00000	9.92337	11.22746	15.99112	12.07059	6.78228	23.51062	15.31044	93.00784	7.90463	77.25098
2018-05-05 10:28:00	863033069630348404	1.00000	8.07123	11.65239	9.79612	13.40807	16.97927	61.01086	13.09038	80.27129	49.39923	48.15831
2018-05-05 10:29:00	863033069630348438	0.00000	11.88258	17.17753	18.89219	9.80977	11.28838	7.52114	32.70628	36.99890	73.62384	92.75993
2018-05-05 10:30:00	359043379931766015	0.00000	11.79135	12.51990	13.54280	13.47748	16.25312	56.39830	45.04655	10.07841	48.51672	22.56451
2018-05-05 10:31:00	8630330696303481404	0.00000	12.78844	10.05873	16.05014	15.32499	10.72911	54.30459	97.48999	2.80218	96.34657	35.97363
2018-05-05 10:32:00	8630330696303481370	0.00000	13.18235	9.08153	14.55871	12.18048	12.43859	28.57902	25.09052	55.07930	1.69008	7.91763
2018-05-05 10:33:00	3590433799317661297	1.00000	7.12942	14.90228	10.92171	14.61643	15.71703	43.08041	55.78132	54.80067	11.75423	21.63017
2018-05-05 10:34:00	359043379931766171	1.00000	11.21541	10.61138	7.37994	12.72022	15.19590	29.58170	17.08790	97.73279	51.27576	6.28377
2018-05-05 10:35:00	8630330696303482485	1.00000	10.77919	11.27644	10.18006	12.17653	14.33829	29.62276	57.83822	45.57439	67.86486	80.72956
