latitude	longitude	store_name	code	location	imei
50.76306	-1.29772	Cowes	GB	Europe/London	8630330696303481545
22.19303	88.18466	Diamond Harbour	IN	Asia/Kolkata	359043379931766346
45.16024	-93.08883	Lino Lakes	US	America/Chicago	3590433799317662410
36	139.55722	Okegawa	JP	Asia/Tokyo	863033069630348313
34.9	137.5	Shinshiro	JP	Asia/Tokyo	359043379931766445
23.04419	-82.00919	Jaruco	CU	America/Havana	863033069630348909
40.24537	-75.64963	Pottstown	US	America/New_York	3590433799317661974
6.95194	121.96361	Recodo	PH	Asia/Manila	8630330696303481545
51.88333	8.51667	Verl	DE	Europe/Berlin	863033069630348107
42.16808	-88.42814	Huntley	US	America/Chicago	359043379931766056
51.21187	4.25633	Beveren	BE	Europe/Brussels	3590433799317662253
61.78491	34.34691	Petrozavodsk	RU	Europe/Moscow	8630330696303482493
34.61667	135.6	Yao	JP	Asia/Tokyo	3590433799317662246
29.22254	79.5286	Haldwani	IN	Asia/Kolkata	8630330696303482402
50.23271	12.87117	Karlovy Vary	CZ	Europe/Prague	863033069630348107
37.19723	122.05228	Tianfu	CN	Asia/Shanghai	8630330696303482428
50.72043	11.34046	Rudolstadt	DE	Europe/Berlin	863033069630348495
45.79377	8.88104	Malnate	IT	Europe/Rome	3590433799317662287
41.6764	-91.58045	Coralville	US	America/Chicago	359043379931766635
23.18	88.58	Aistala	IN	Asia/Kolkata	3590433799317661040
11.8659	34.3869	Ar Ruseris	SD	Africa/Khartoum	359043379931766908
42.52787	-70.92866	Peabody	US	America/New_York	3590433799317661701
50.09019	8.4493	Hofheim am Taunus	DE	Europe/Berlin	359043379931766536
6.46838	-73.26022	Socorro	CO	America/Bogota	863033069630348909
16.68911	98.50893	Myawadi	MM	Asia/Yangon	3590433799317662121
26.2649	81.54855	Jais	IN	Asia/Kolkata	359043379931766965
41.8542	-87.66561	Lower West Side	US	America/Chicago	3590433799317661362
40.85158	122.74754	Haicheng	CN	Asia/Shanghai	863033069630348214
44.27804	-88.27205	Kaukauna	US	America/Chicago	863033069630348305
58.7002	59.4839	Kachkanar	RU	Asia/Yekaterinburg	3590433799317661768
48.25	16.4	Floridsdorf	AT	Europe/Vienna	8630330696303481727
