ts	imei	mwra	p.android.settings	p.system	p.android.gm	p.android.externalstorage	p.android.chrome	p.android.documentsui	p.android.packageinstaller	p.google	p.inputmethod.latin	p.olauncher	p.android.vending	p.android.defcontainer	p.process.gapps	p.katana	p.simulator	p.gms.persistent	p.android.gms	p.browser.provider	p.notifier	p.dogalize
2018-05-05 10:00:00	3590433799317661776	0.00000	11.34798	14.13743	14.64982	9.34424	15.66550	15.26851	14.62491	0.00270	48.94144	50.43201	59.80166	49.66552	33.84104	34.19907	6.52466	99.39078	84.94906	2.83852	87.79846	33.29832
2018-05-05 10:01:00	359043379931766221	0.00000	14.80580	11.96671	12.95043	10.20529	14.16746	13.03841	12.70229	0.08458	38.40578	51.64229	48.41208	31.69242	49.68954	34.66524	84.42300	29.57610	34.16842	69.97284	48.08217	52.36765
2018-05-05 10:02:00	359043379931766197	0.00000	14.51890	12.74729	11.90773	9.83068	13.80269	10.45048	11.01359	0.06349	47.01867	58.25394	78.37924	58.92194	73.43071	49.11946	78.71249	92.07073	95.31141	96.03481	14.25916	54.70410
2018-05-05 10:03:00	359043379931766361	1.00000	14.48156	11.99009	12.32908	8.44697	14.18748	9.31046	12.27122	0.06115	44.05427	37.74113	51.29133	62.84000	80.19334	91.33641	59.28914	72.96496	9.79390	61.70843	61.53176	83.72425
2018-05-05 10:04:00	8630330696303481768	0.00000	12.84122	14.08966	14.15924	12.68371	16.35177	14.21179	16.43525	0.01187	28.53389	63.01864	54.36306	61.88021	20.99104	71.87039	42.03497	21.35286	19.76991	44.50471	42.51920	22.38843
2018-05-05 10:05:00	863033069630348305	0.00000	15.69882	16.63047	10.54985	11.42710	12.69211	15.23254	16.18504	0.20654	75.85379	71.25802	55.84930	22.67141	32.03368	45.15250	29.16133	10.82157	9.13494	34.52328	24.12722	60.90580
2018-05-05 10:06:00	359043379931766007	0.00000	11.11825	15.88993	16.87201	13.98692	16.16463	13.36807	15.24898	0.00213	56.86612	41.54548	42.93193	38.60556	74.32107	99.84057	75.11799	92.84238	71.68669	19.06985	1.20465	13.41495
2018-05-05 10:07:00	8630330696303481214	1.00000	9.99169	11.79620	14.45885	10.62429	14.86322	11.24294	12.63836	0.00070	74.94232	42.03942	51.96413	46.32588	31.51692	52.15223	93.38819	42.75671	52.17792	46.73502	77.06009	57.14318
2018-05-05 10:08:00	8630330696303481743	0.00000	13.70334	12.89078	13.43754	12.91388	16.05603	14.90092	17.48454	0.02812	52.49440	83.45706	58.47650	44.15719	29.91095	23.50708	2.39111	78.45056	57.84175	57.85767	42.90421	19.96406
2018-05-05 10:09:00	863033069630348032	0.00000	9.40449	14.63902	15.84751	10.41009	14.85406	15.64198	15.39868	0.00039	50.85499	71.57091	55.26039	72.82241	91.76723	94.81785	74.92278	29.94084	16.27705	38.80160	13.15480	58.10748
